"id","printer_id","color","head","slot_serial","installed_datetime","replaced_datetime","remounted_datetime","remounted_color","remounted_head"
16776,550,3,"3","261594-09","2019-04-23 13:28:26+02","2020-10-13 16:38:11+02",NULL,NULL,NULL
16775,550,3,"4","261587-05","2019-04-23 13:28:26+02","2020-10-13 16:38:11+02",NULL,NULL,NULL
16772,550,3,"5","261644-03","2019-04-23 13:28:29+02","2020-06-29 17:02:15+02",NULL,NULL,NULL
16706,550,3,"5","275116-03","2020-06-29 17:02:15+02","2020-10-13 16:38:11+02",NULL,NULL,NULL
16784,550,3,"6","261585-10","2019-04-23 13:28:14+02","2020-10-13 16:38:11+02",NULL,NULL,NULL
16769,550,3,"7","261533-04","2019-04-23 13:29:10+02","2020-06-29 17:06:10+02",NULL,NULL,NULL
16701,550,3,"7","275852-07","2020-06-29 17:06:10+02","2020-10-13 16:38:11+02",NULL,NULL,NULL
16803,550,4,"4","261868-04","2019-04-23 13:16:08+02","2020-06-30 10:04:36+02",NULL,NULL,NULL
16802,550,4,"5","261316-03","2019-04-23 13:16:08+02","2020-06-30 09:58:42+02",NULL,NULL,NULL
16705,550,5,"2","270565-10","2020-06-29 17:02:15+02","2020-10-09 11:50:27+02",NULL,NULL,NULL
28957,550,5,"2","274963-08","2020-10-09 11:50:27+02","2021-08-10 18:37:15+02",NULL,NULL,NULL
16704,550,5,"6","275852-05","2020-06-29 17:02:15+02","2020-07-30 09:27:41+02",NULL,NULL,NULL
10867,553,0,"5","261423-01","2019-07-09 08:12:02+02","2020-05-03 23:45:52+02",NULL,NULL,NULL
10866,553,0,"6","261360-04","2019-07-09 08:12:02+02","2021-12-02 17:22:23+01",NULL,NULL,NULL
10826,553,0,"7","261378-08","2020-05-22 04:12:49+02","2021-12-02 17:22:27+01",NULL,NULL,NULL
10865,553,1,"0","261379-06","2019-07-09 08:12:02+02","2021-12-02 17:22:30+01",NULL,NULL,NULL
10861,553,1,"5","261532-01","2019-07-09 08:12:03+02","2021-12-02 17:26:20+01",NULL,NULL,NULL
10825,553,1,"6","261428-09","2020-05-22 20:46:39+02","2021-12-02 17:43:26+01",NULL,NULL,NULL
10860,553,1,"7","262076-03","2019-07-09 08:12:03+02","2021-12-02 17:27:38+01",NULL,NULL,NULL
10842,553,2,"0","261360-05","2020-01-08 13:38:53+01","2021-12-02 17:25:36+01",NULL,NULL,NULL
10832,553,2,"3","261621-05","2020-04-13 14:21:06+02","2021-10-20 09:17:53+02",NULL,NULL,NULL
10856,553,2,"6","261942-05","2019-07-09 08:12:03+02","2021-10-11 05:56:01+02",NULL,NULL,NULL
10855,553,2,"7","261594-07","2019-07-09 08:12:03+02","2021-12-02 17:25:33+01",NULL,NULL,NULL
10854,553,3,"0","260734-08","2019-07-09 08:12:03+02","2021-08-30 13:43:36+02",NULL,NULL,NULL
10853,553,3,"1","261449-04","2019-07-09 08:12:03+02","2021-08-30 13:43:39+02",NULL,NULL,NULL
10852,553,3,"2","261839-04","2019-07-09 08:12:03+02","2021-08-30 13:43:42+02",NULL,NULL,NULL
10831,553,3,"3","261863-05","2020-04-18 22:26:51+02","2021-08-30 13:43:33+02",NULL,NULL,NULL
10843,553,3,"4","261556-02","2019-07-09 08:14:52+02","2020-05-06 08:52:17+02",NULL,NULL,NULL
10851,553,3,"5","261645-09","2019-07-09 08:12:03+02","2021-08-30 13:43:39+02",NULL,NULL,NULL
10850,553,3,"6","261378-06","2019-07-09 08:12:04+02","2021-08-30 13:43:42+02",NULL,NULL,NULL
84876,553,3,"7","279597-07","2021-08-30 13:43:33+02","2021-11-14 10:22:30+01",NULL,NULL,NULL
10847,553,4,"0","261552-10","2019-07-09 08:14:51+02","2020-02-28 13:10:11+01",NULL,NULL,NULL
10837,553,4,"0","271463-04","2020-02-28 13:10:11+01","2021-12-02 17:23:11+01",NULL,NULL,NULL
10873,553,4,"1","261551-09","2019-07-09 08:12:02+02","2020-02-26 19:16:35+01",NULL,NULL,NULL
10872,553,4,"2","261983-02","2019-07-09 08:12:02+02","2020-02-26 19:16:35+01",NULL,NULL,NULL
10840,553,4,"2","271845-03","2020-02-26 19:16:35+01","2020-06-01 07:24:19+02",NULL,NULL,NULL
10846,553,4,"3","261321-03","2019-07-09 08:14:51+02","2020-02-28 13:10:14+01",NULL,NULL,NULL
10871,553,4,"4","261437-09","2019-07-09 08:12:02+02","2020-02-26 19:18:22+01",NULL,NULL,NULL
10870,553,4,"5","261980-05","2019-07-09 08:12:02+02","2020-02-26 19:18:31+01",NULL,NULL,NULL
10838,553,4,"5","271321-05","2020-02-26 19:18:31+01","2022-03-15 08:28:20+01",NULL,NULL,NULL
10845,553,4,"6","261528-03","2019-07-09 08:14:51+02","2020-02-28 13:19:57+01",NULL,NULL,NULL
10835,553,4,"6","271428-05","2020-02-28 13:19:57+01","2022-03-15 08:28:23+01",NULL,NULL,NULL
10844,553,4,"7","261531-04","2019-07-09 08:14:51+02","2020-02-28 13:19:57+01",NULL,NULL,NULL
10834,553,4,"7","271847-05","2020-02-28 13:19:57+01","2022-03-15 08:27:45+01",NULL,NULL,NULL
920,560,0,"1","261590-09","2019-07-16 16:28:37+02","2021-03-01 15:40:58+01",NULL,NULL,NULL
944,560,0,"5","261870-01","2019-07-16 16:18:35+02","2021-10-21 14:33:06+02",NULL,NULL,NULL
943,560,0,"6","261551-07","2019-07-16 16:18:35+02","2021-10-21 14:32:48+02",NULL,NULL,NULL
940,560,1,"5","262904-04","2019-07-16 16:18:35+02","2020-02-07 17:08:09+01",NULL,NULL,NULL
915,560,1,"7","261865-08","2019-07-16 16:28:37+02","2019-08-27 05:50:46+02",NULL,NULL,NULL
914,560,2,"2","261590-05","2019-07-16 16:28:37+02","2021-04-09 08:33:18+02",NULL,NULL,NULL
913,560,2,"6","261559-04","2019-07-16 16:28:37+02","2019-09-09 16:35:31+02",NULL,NULL,NULL
934,560,3,"0","261552-01","2019-07-16 16:18:35+02","2020-10-26 15:08:34+01",NULL,NULL,NULL
933,560,3,"1","261861-07","2019-07-16 16:18:36+02","2020-10-26 15:08:34+01",NULL,NULL,NULL
31172,560,3,"1","277013-08","2020-10-26 15:08:34+01","2021-03-01 15:41:12+01",NULL,NULL,NULL
911,560,3,"2","261447-01","2019-07-16 16:28:37+02","2020-10-26 15:08:25+01",NULL,NULL,NULL
910,560,3,"3","261422-06","2019-07-16 16:28:37+02","2020-10-26 15:08:30+01",NULL,NULL,NULL
31175,560,3,"3","276872-07","2020-10-26 15:08:30+01","2021-03-01 15:45:53+01",NULL,NULL,NULL
932,560,3,"4","261949-10","2019-07-16 16:18:36+02","2020-10-26 15:08:34+01",NULL,NULL,NULL
931,560,3,"5","261582-04","2019-07-16 16:18:36+02","2020-10-26 15:08:34+01",NULL,NULL,NULL
908,560,3,"6","262394-07","2019-07-18 10:10:11+02","2020-10-26 15:08:25+01",NULL,NULL,NULL
930,560,3,"7","261313-10","2019-07-16 16:18:36+02","2020-10-26 15:08:30+01",NULL,NULL,NULL
960,560,4,"3","261983-04","2019-07-16 16:18:34+02","2020-05-28 19:17:21+02",NULL,NULL,NULL
958,560,4,"5","261379-01","2019-07-16 16:18:34+02","2020-05-28 19:17:21+02",NULL,NULL,NULL
926,560,5,"1","261942-09","2019-07-16 16:28:37+02","2021-03-01 15:41:52+01",NULL,NULL,NULL
954,560,5,"3","261946-09","2019-07-16 16:18:34+02","2021-03-01 15:41:06+01",NULL,NULL,NULL
13651,565,2,"3","261980-04","2019-07-23 12:02:48+02","2020-10-20 05:08:09+02",NULL,NULL,NULL
13632,565,3,"0","261449-07","2020-04-17 06:19:17+02","2020-10-23 12:05:41+02",NULL,NULL,NULL
13637,565,3,"1","262682-08","2019-07-23 12:10:07+02","2020-10-23 12:05:41+02",NULL,NULL,NULL
13642,565,3,"3","262076-09","2019-07-23 12:09:49+02","2020-06-27 19:15:56+02",NULL,NULL,NULL
